epoch,total_loss,bce,commitment
11,5450360659.5,11804772.216796875,5438555871.0
12,3961232728.5,11829095.419921875,3949403638.0
13,3173083745.0,11858163.92578125,3161225584.0
14,2778035662.25,11891042.732421875,2766144618.75
15,2668422685.25,11916237.0078125,2656506440.75
16,2886706548.0,11923960.646484375,2874782583.25
17,3657114058.0,11880278.322265625,3645233785.5
18,5176641402.0,11816990.740234375,5164824407.0
19,7083509944.0,11790791.1875,7071719157.0
20,8806491060.0,11794303.451171875,8794696750.0
21,9848704168.0,11797562.130859375,9836906597.0
22,10633342156.0,11789999.83984375,10621552171.0
23,11170376660.0,11786068.583984375,11158590579.0
24,11157352535.0,11779095.439453125,11145573448.0
25,10967064765.0,11770973.162109375,10955293816.0
26,10984058082.0,11768659.826171875,10972289457.0
27,11005379328.0,11768829.3671875,10993610471.0
28,10931255201.0,11770855.2890625,10919484377.0
29,10900997394.0,11772671.07421875,10889224747.0
30,10901960685.0,11773890.9296875,10890186790.0
